value,y,x
salon.charge.winner,52.111349,1.244841
verge.drop.fake,52.112535,1.246027
curly.annoys.mooring,52.095637,1.252656
entire.imposes.publisher,52.095421,1.252744
rebounded.minivans.consented,52.095259,1.252744
privately.musically.fewest,52.093723,1.2527
blog.maker.rots,52.083266,1.231206
taxpayers.caked.reverted,52.082215,1.253531
rungs.repelled.engaging,52.077984,1.285987
glitz.howler.restores,52.077094,1.294978
wobbles.birdcage.soon,52.026534,1.341198
denim.excusing.storm,52.05238,1.332039
kicks.strictest.ally,52.078496,1.313048
query.operated.unsecured,52.077768,1.296425
reservoir.tens.bicker,52.090004,1.319876
unsecured.paving.refutes,52.090139,1.32093
sandpaper.producing.slimming,52.093885,1.324311
dockers.effort.daring,52.098952,1.329887
vital.briskly.different,52.102374,1.344156
blending.anguished.asterisk,52.117521,1.358777
slid.bookshop.widgets,52.117467,1.358645
diggers.grumbles.birthing,52.129649,1.390669
spill.facelift.feasting,52.132668,1.393877
systems.hockey.traffic,52.132991,1.393614
making.whirlwind.thinker,52.147275,1.381527
decking.regard.reputable,52.158622,1.370759
looms.loudly.behave,52.152585,1.374407
daylight.configure.cotton,52.154525,1.372253
tweed.combos.pickles,52.159781,1.355331
plan.videos.ships,52.159888,1.338849
decays.shatters.venue,52.157625,1.312522
listings.cutlets.twinkling,52.157328,1.310632
boss.situation.roosts,52.15652,1.308874
singers.tightrope.farmed,52.156493,1.308786
swift.nips.banana,52.176598,1.339031
trooper.poodle.cleanser,52.177245,1.339647
flick.hunt.toast,52.178431,1.335687
prosper.mandolin.confetti,52.217995,1.190429
pretty.needed.chill,51.751172,-1.24623
attaching.runners.presses,52.218292,1.190825
swimsuits.wheels.ripples,52.220825,1.185232
modem.slap.input,52.220906,1.184175
fuzzy.foreheads.custom,52.223278,1.186245
compress.ever.shelters,52.225515,1.183954
salary.boomer.viewer,52.225784,1.1814
emulating.fondest.league,52.227967,1.180783
radar.snored.drummers,52.227806,1.17977
riots.headsets.enable,52.228075,1.181003
digitally.genius.ally,52.245324,1.175233
thrusters.rigs.pipes,52.197782,1.200832
worm.ooze.zoned,52.218346,1.190649
shunning.grace.signed,52.218373,1.190429
modem.slap.input,52.220906,1.184175
fuzzy.foreheads.custom,52.223278,1.186245
compress.ever.shelters,52.225515,1.183954
morphing.tonal.sponsors,51.990419,1.394673
wink.blip.responded,51.998855,1.396512
registers.activates.newsprint,52.022733,1.361484
speeds.mistress.whisk,52.053754,1.332083
statement.built.chair,52.089626,1.318647
gobbling.tricks.misty,52.096095,1.328043
dentures.kingdom.kiosk,52.113101,1.357021
dugouts.wooden.recruited,52.120593,1.357372
native.consoled.delight,52.157544,1.312478
costs.trusts.precluded,52.230501,1.181796
trickled.magnum.slurping,52.227428,1.165544
invest.minivans.unstated,52.245135,1.17541
including.shook.cheek,52.242225,1.170829
kicks.strictest.aly,52.078496,1.313048
plan.video.ships,52.159888,1.338849
decay.shutters.venue,52.157625,1.312522
boss.situation.roots,52.15652,1.308874
riots.headset.enable,52.228075,1.181003
trusters.rigs.pipes,52.197782,1.200832
shunning.gace.signed,52.218373,1.190429
speed.mistress.whisk,52.053754,1.332083
costs.trust.precluded,52.230501,1.181796
including.shock.cheek,52.242225,1.170829
worm.ooze.zoned,52.218346,1.190649
that.consonant.tango,52.156951,1.309138
headless.starring.necks,52.157732,1.311819
