Category,Location_Description,what3words_location
River Fynn and River Lark,"The Green, Grundisburgh",salon.charge.winner
River Fynn and River Lark,"River Lark; Burgh St B1079, Grundisburgh",verge.drop.fake
River Fynn and River Lark,River Lark; Boot Street upstream 12m,curly.annoys.mooring
River Fynn and River Lark,River Lark; Boot St outfall,entire.imposes.publisher
River Fynn and River Lark,River Lark; Boot St 12m downstream,rebounded.minivans.consented
River Fynn and River Lark,River Lark; Boot Street Bridge,privately.musically.fewest
River Fynn and River Lark,Playford Bridge,blog.maker.rots
River Fynn and River Lark,Little Bealings Bridge,taxpayers.caked.reverted
River Fynn and River Lark,Red Lion Bridge Martlesham,rungs.repelled.engaging
River Fynn and River Lark,Martlesham Sluice: River Fynn,glitz.howler.restores
Tidal Section,Bawdsey Quay,
Tidal Section,Bawdsey Alderton Evacuation Sluice,
Tidal Section,Ramsholt Quay,
Tidal Section,Kirton Sluice Seaward,wobbles.birdcage.soon
Tidal Section,Kirton Sluice Landward,wobbles.birdcage.soon
Tidal Section,Waldringfield Beach,denim.excusing.storm
Tidal Section,Kyson Point,kicks.strictest.aly
Tidal Section,Martlesham Creek STW outfall,query.operated.unsecured
Tidal Section,Woodbridge Houseboats Charter Marine,reservoir.tens.bicker
Tidal Section,Woodbridge Tide Mill,unsecured.paving.refutes
Tidal Section,Woodbridge Lime Kiln Quay,sandpaper.producing.slimming
Tidal Section,Melton Sluice South Farm,dockers.effort.daring
Tidal Section,Melton Sluice South  No 2,
Tidal Section,Wilford Bridge,vital.briskly.different
Non-Tidal River Deben,Ufford Upper Pool,blending.anguished.asterisk
Non-Tidal River Deben,Ufford Lower Pool,slid.bookshop.widgets
Non-Tidal River Deben,Byng Brook Bridge,
Non-Tidal River Deben,Rendlesham Weir,diggers.grumbles.birthing
Non-Tidal River Deben,Rendlesham STW outfall,spill.facelift. feasting
Non-Tidal River Deben,Rendlesham Ford,systems.hockey.traffic
Non-Tidal River Deben,Wickham Market White Bridges,making.whirlwind.thinker
Non-Tidal River Deben,Wickham Market A12 bridge (downstream),decking.regard.reputable
Non-Tidal River Deben,Wickham Market STW outfall,looms.loudly.behave
Non-Tidal River Deben,Wickham Market Spring Lane (upstream),daylight.configure.cotton
Non-Tidal River Deben,Glavering Bridge S2,tweed.combos.pickles
Potsford Brook,Bridge at Potsford Farm,plan.video.ships
Potsford Brook,Opposite Prospect Farm,decay.shutters.venue
Potsford Brook,Potsford Brook Charfield STW outfall,listings.cutlets.twinkling
Potsford Brook,Potsford Brook Charfield Bridge ,boss.situation.roots
Potsford Brook,Charfield farm culvert outfall into Brook,singers.tightrope.farmed
Potsford Brook,Easton Field (downstream),swift.nips.banana
Potsford Brook,Easton STW outfall,trooper.poodle.cleanser
Potsford Brook,Easton Bridge (upstream),flick.hunt.toast
Debenham and Source waters,Debenham 1.  Downstream from STW Vince’s chickens,trusters.rigs.pipes
Debenham and Source waters,Debenham 2                       STW Outlet Pipe,worm.oozed.zone
Debenham and Source waters,Debenham 3.       Upstream from STW (Vince’s chickens (SP??),shunning.gace.signed
Debenham and Source waters,Debenham 8           Kenton Road Bridge/ Thorpe Lane (SP*),swimsuits wheels ripples
Debenham and Source waters,Debenham 5           Ipswich Road/ Thorpe Lane (SP7),modem.slap.input
Debenham and Source waters,Debenham 6            Kenton Road Bridge (SP6),fuzzy.foreheads.custom
Debenham and Source waters,Debenham 7             Priory Road Bridge (SP5),compress.ever.shelters
Debenham and Source waters,Debenham 8              Water Lane Ford (SP4),salary boomer viewer
Debenham and Source waters,Debenham 9      Footbridge Chancery Lane Aspall Road (SP3),emulating fondest league
Debenham and Source waters,Debenham 10.          Aspall Road/ Brook Lane Corner Bridge (SP2),riots headset enable
Debenham and Source waters,Debenham 11          Corner Bridge Chancery / Brook Lane (SP1),radar snored drummers
Debenham and Source waters,"Debenham 12                     Private access bridge atGull Fram, Aspall Road",
Debenham and Source waters,"Debenham 13            Aspall Road after Bellwell Lane, concrete bridge",
Debenham and Source waters,Debenham 14     Aspall Village; access via track/footpath,
Debenham and Source waters,"Debenham 15               Downstream of New Road bridge, where tributaries meet",
Debenham and Source waters,Debenham 16.           Valley Cottage New Road,
